Character,Line,Next_Character,Season,Episode,Line_Length,Sentiment
Ben Wyatt,"Andy and I just closed a big donation to the Redwood Music Program, a charity he discovered, so I suggested we all go out for a celebratory drink. And somehow I just ended up becoming the designated driver. And paying for everyone. And I didn't get to choose the bar. I should be more assertive.",Andy Dwyer,5,21,55,Negative
Andy Dwyer,"Aw, the band is moving me tonight. It's really good.",Ben Wyatt,5,21,10,Neutral
Ben Wyatt,Really? They sound kinda crappy to me.,April Ludgate,5,21,7,Neutral
April Ludgate,"Kinda sounds like one of your songs, babe.",Andy Dwyer,5,21,8,Neutral
Andy Dwyer,"Well, you know what, Mouse Rat has a lot of influence on some of the local high school bands, mostly 'cause Chang buys 'em beer and whatnot.",April Ludgate,5,21,27,Negative
April Ludgate,"Wait, Andy, this is a Mouse Rat song.",Burly,5,21,8,Neutral
Burly,"Spread your wings and fly, yeah",Andy Dwyer,5,21,6,Positive
Andy Dwyer,That's my band. I didn't recognize us without me because I'm the only one that matters.,Burly,5,21,16,Neutral
Burly,"Thank you, everyone. We are Rat Mouse.",Andy Dwyer,5,21,7,Positive
Andy Dwyer,Rat Mouse? Rat bastards. They're playing without me? That's a song I wrote!,Mona-Lisa Saperstein,5,21,13,Positive
Mona-Lisa Saperstein,"Hey, baby, can I borrow your car for a month?",Tom Haverford,5,21,10,Positive
Tom Haverford,I already lent you my car. Do you not know where my car is?,Mona-Lisa Saperstein,5,21,14,Positive
Mona-Lisa Saperstein,"Ugh, I'm so sick of the third degree. It's like dating a cop. I'm gassy. Let's make out.",Tom Haverford,5,21,18,Negative
Tom Haverford,What?,Mona-Lisa Saperstein,5,21,1,Neutral
Mona-Lisa Saperstein,Yeah. Move aside!,Tom Haverford,5,21,3,Neutral
Tom Haverford,"Dating MonaLisa is awesome. Except that I live in constant fear for my life. So I guess it's time to do the mature thing and have someone else dump her for me. Uh, Perkins, sit down. I just heard that you and Traeger might be getting back together.",Ann Perkins,5,21,48,Neutral
Ann Perkins,"Yeah, it's funny, right? I mean, we're already planning on having a baby together. We're not quite a couple but",Tom Haverford,5,21,20,Neutral
Tom Haverford,"Yeah. Cool. Congrats. Listen, I need your help. My girlfriend is crazy.",Ann Perkins,5,21,12,Neutral
Ann Perkins,You say that about every girl you date. You said that about me.,Tom Haverford,5,21,13,Negative
Tom Haverford,"Calm down, Ann. You're proving my point. Seriously, MonaLisa is legit insane. She once jumped out of a moving car to buy a Nicki Minaj poster. Can you break up with her for me?",Ann Perkins,5,21,34,Neutral
Ann Perkins,I'm not gonna dump a girl for you.,Tom Haverford,5,21,8,Neutral
Tom Haverford,I'll give you that chenille blanket of mine you love so much.,Ann Perkins,5,21,12,Negative
Ann Perkins,Deal.,Tom Haverford,5,21,1,Neutral
Tom Haverford,"Ugh, but that's my favorite blankie. Won't you do it for free?",Ann Perkins,5,21,12,Positive
Ann Perkins,Nope.,Tom Haverford,5,21,1,Neutral
Tom Haverford,Fine.,Jeremy Jamm,5,21,1,Neutral
Jeremy Jamm,"Yeah, dead ringer for Courtney ThorneSmith. She works at the gas station.",Leslie Knope,5,21,12,Negative
Leslie Knope,"Okay, I need to have Jamm fall in love with this place, so I'm rolling out the red carpet. I need you to stay upbeat. Keep things light.",Chris Traeger,5,21,28,Negative
Chris Traeger,Absolutely. I can be a sort of Conversational lubricant.,Leslie Knope,5,21,9,Neutral
Leslie Knope,"Yeah, there's probably a less gross way to say it, but sure.",Chris Traeger,5,21,12,Neutral
Chris Traeger,I love being a caddy. It's so much more than just carrying clubs. It's about offering positive reinforcement. I consider myself a caddy to everyone in my life.,Extra,5,21,28,Positive
Extra,"Yeah, good one!",Chris Traeger,5,21,3,Neutral
Chris Traeger,"Nice shot! Great sweeping. Way to be, duck.",Leslie Knope,5,21,8,Neutral
Leslie Knope,"Councilman, nice putter.",Jeremy Jamm,5,21,3,Neutral
Jeremy Jamm,"Oh, thank you very much. Some fat Hawaiian guy left it in my waiting room. When he came back, I was all like, ""Oh, uh, yeah, yeah, no, I haven't seen it."" I don't know. Classic.",Leslie Knope,5,21,36,Positive
Leslie Knope,"What a great and funny story. Okay, before we start, anybody want a hot dog?",Jeremy Jamm,5,21,15,Positive
Jeremy Jamm,"Hot dogs? You know I have irritable bowel syndrome, you racist.",Leslie Knope,5,21,11,Negative
Leslie Knope,"Yikes, okay. How about a snow cone on me?",Ron Swanson,5,21,9,Positive
Ron Swanson,"Hello, Councilman. Chris, Leslie, snow cone lady. I see you're about to play a round of publicly subsidized minigolf. Mind if I join you?",Andy Dwyer,5,21,24,Neutral
Andy Dwyer,"Well, hello, Burly, Chang.",Burly,5,21,4,Neutral
Burly,"Hey, man, what's up?",Andy Dwyer,5,21,4,Neutral
Andy Dwyer,"I was just over at the bar, enjoying a wonderful night with my coworkers who all talked about how awesome I was, and I look up, and what do I see? A band. But you're missing something like, uh, I don't know, your lead singer songwriter Tshirt designer nacho chef. What's up?",Burly,5,21,52,Negative
Burly,"First of all, your nachos are terrible. No one's had the guts to tell you. Why don't you melt the cheese?",Chang,5,21,21,Neutral
Chang,"We tried to tell you about the show, man. I called your cell, like, 20 times.",Andy Dwyer,5,21,16,Neutral
Andy Dwyer,"Well, I dropped my cell phone in a bowl of cereal last week, you idiot. You bothered to call me, you'd have known that. Maybe you should change your name to Burly and The Backstabbers.",Burly,5,21,35,Neutral
Burly,"That's a pretty good name, actually.",Chang,5,21,6,Neutral
Chang,"Yeah, he's really good at coming up with names.",Jeremy Jamm,5,21,9,Neutral
Jeremy Jamm,"Get me a Budweiser Black Crown. You guys got Black Crown here? If not, you should.",Chris Traeger,5,21,16,Neutral
Chris Traeger,"Ron, are you gonna be joining us?",Ron Swanson,5,21,7,Negative
Ron Swanson,I won't be playing. I'm simply here to remind Councilman Jamm that this ridiculous play palace costs the taxpayers thousands of dollars a year.,Leslie Knope,5,21,24,Positive
Leslie Knope,"And what a bargain. I mean, kids love it, adults love it, Jamm loves it. Everybody loves it. It's like the Toy Story 3 of places.",Jeremy Jamm,5,21,26,Negative
Jeremy Jamm,"Yeah, she's right, Swanson. I do love it. You should relax a little. Have a snow cone. Leslie's buying all night.",Ron Swanson,5,21,21,Positive
Ron Swanson,"You don't say. She's buying you snow cones, and tomorrow you're voting on an issue that she cares about.",Leslie Knope,5,21,19,Neutral
Leslie Knope,"Hey, guys, what, are we gonna stand around all day and listen to Ron spout off unrelated facts about blah, blah, blah, or are we gonna play? Game on.",Chris Traeger,5,21,29,Negative
Chris Traeger,"Hey, everybody, great news. They gave us free mylar balloons.",Jeremy Jamm,5,21,10,Neutral
Jeremy Jamm,I got dibs on the dinosaur. And the pirate and the dolphin. I want all of 'em.,Leslie Knope,5,21,17,Positive
Leslie Knope,You got 'em.,Jeremy Jamm,5,21,3,Neutral
Jeremy Jamm,Sweet.,Chris Traeger,5,21,1,Neutral
Chris Traeger,The Councilman is away Good luck to you both.,Jeremy Jamm,5,21,9,Neutral
Jeremy Jamm,"Luck has nothing to do with it, Chris. Yeah, I could be a pro!",Leslie Knope,5,21,14,Neutral
Leslie Knope,"Wow, you are on fire, Jeremy. Having fun?",Jeremy Jamm,5,21,8,Neutral
Jeremy Jamm,Mmhmm.,Leslie Knope,5,21,1,Neutral
Leslie Knope,I think this proves that this is a wonderful place that brings joy to people's lives and brings a community together.,Ron Swanson,5,21,21,Negative
Ron Swanson,"It's also a place that costs the taxpayer 9,000 dollars in annual subsidies.",Jeremy Jamm,5,21,13,Positive
Jeremy Jamm,You guys sound like school.,Chris Traeger,5,21,5,Neutral
Chris Traeger,"I have two important pieces of caddy information. Councilman Jamm leads by eight strokes, and you are both about to set a course record. For friendship. On to the next hole.",Ron Swanson,5,21,31,Negative
Ron Swanson,"You are pandering to get a vote. And worse, you're deliberately losing.",Leslie Knope,5,21,12,Neutral
Leslie Knope,I am not deliberately losing. I'm having a very off night.,Ron Swanson,5,21,11,Neutral
Ron Swanson,Losing on purpose is a form of lying. You're only as good as your word.,Leslie Knope,5,21,15,Neutral
Leslie Knope,"You want a word, Ron? I have a word for you. I will do anything I can to get Jamm's vote so that he will keep this course open, and it will be good for the community stop! I know it's more than one word. Shut up.",Extra,5,21,47,Neutral
Extra,Remember,Ann Perkins,5,21,1,Neutral
Ann Perkins,"Hi, MonaLisa? Hi. I'm Ann Perkins. I used to date Tom.",Mona-Lisa Saperstein,5,21,11,Neutral
Mona-Lisa Saperstein,"Oh, okay. We can do this, but I will bite you.",Ann Perkins,5,21,11,Positive
Ann Perkins,"Is that a screwdrive no, I do not want to fight. No.",Mona-Lisa Saperstein,5,21,12,Neutral
Mona-Lisa Saperstein,Okay.,Ann Perkins,5,21,1,Neutral
Ann Perkins,I just wanna talk to you woman to woman because I know Tom pretty well.,Mona-Lisa Saperstein,5,21,15,Neutral
Mona-Lisa Saperstein,Do you know his ATM pin? 'Cause I cannot crack that little bitch's code.,Ann Perkins,5,21,14,Neutral
Ann Perkins,"I don't. You know what used to drive me nuts? He is a total control freak. I mean, you have to put a coaster down on every surface, and the worst part is, they're all made out of pictures from Diddy's Instagram.",Mona-Lisa Saperstein,5,21,42,Positive
Mona-Lisa Saperstein,"Diddy's on Instagram? How did I not know that Diddy was on Instagram, you jagweeds?",Ann Perkins,5,21,15,Neutral
Ann Perkins,Who are you yelling at?,Mona-Lisa Saperstein,5,21,5,Neutral
Mona-Lisa Saperstein,The jagweeds. Why are you still in front of me?,Burly,5,21,10,Neutral
Burly,Everything that used to,Andy Dwyer,5,21,4,Neutral
Andy Dwyer,"I'm done with that band. I mean, I'm an adult now, you know? I work two parttime jobs. Hello. I don't need the stress of playing guitar with my friends every few weeks.",April Ludgate,5,21,33,Neutral
April Ludgate,"Yeah, plus look how bad they are without you. Burly's terrible.",Andy Dwyer,5,21,11,Neutral
Andy Dwyer,He actually has a really beautiful voice for a backup singer.,April Ludgate,5,21,11,Negative
April Ludgate,"Right, that's what I meant. I love Andy, but to be perfectly honest, Mouse Rat's music is not my thing. I really only listen to, like, German Death Reggae and Halloween sound effects records from the 1950s. And Bette Midler. Obviously.",Andy Dwyer,5,21,41,Neutral
Andy Dwyer,"You know what, I'm retiring from music.",April Ludgate,5,21,7,Negative
April Ludgate,Andy. Andy.,Andy Dwyer,5,21,2,Neutral
Andy Dwyer,"Done. But not without first a monster farewell performance solo on this stage tonight, everybody. I'ma show these idiots what a big mistake they made. I need piece of paper, I need a pen, I need four more beers, I need a computer fan, I need a lightning bolt of inspiration. It's song writing time.",Ben Wyatt,5,21,55,Neutral
Ben Wyatt,What do you need a computer fan for?,Andy Dwyer,5,21,8,Neutral
Andy Dwyer,"Sometimes when you use a computer, it gets hot, and the fan cools it down.",Ann Perkins,5,21,15,Neutral
Ann Perkins,"You know, I think it's great that you're cool with Tom's financial situation.",Mona-Lisa Saperstein,5,21,13,Positive
Mona-Lisa Saperstein,What are you talking about? Tommy owns his own business.,Ann Perkins,5,21,10,Neutral
Ann Perkins,"Yeah, but he had to borrow a lot of money, and when you're not around, Tom drinks tap water.",Mona-Lisa Saperstein,5,21,19,Neutral
Mona-Lisa Saperstein,What? Excuse me. You're broke?,Tom Haverford,5,21,5,Neutral
Tom Haverford,"Uh, yeah, super broke. Are you upset about that?",Mona-Lisa Saperstein,5,21,9,Neutral
Mona-Lisa Saperstein,"Mm, yeah, 'cause I don't eff with poorsies. But thanks to a warning from my new best friend, I don't have to, okay? We're done, you're awesome, and I don't even usually like Puerto Rican chicks.",Ann Perkins,5,21,36,Neutral
Ann Perkins,"I'm not I mean, it shouldn't matter, but I'm",Tom Haverford,5,21,9,Positive
Tom Haverford,"You're breaking up with me? Oh, man, that sucks.",Mona-Lisa Saperstein,5,21,9,Neutral
Mona-Lisa Saperstein,That's right. It's over. Let's go dance.,Ann Perkins,5,21,7,Neutral
Ann Perkins,Help.,Leslie Knope,5,21,1,Neutral
Leslie Knope,"Ugh, I cannot catch a break.",Jeremy Jamm,5,21,6,Neutral
Jeremy Jamm,"You better find your stroke, Knope.",Chris Traeger,5,21,6,Negative
Chris Traeger,"Guys, I'm gonna let Julie go home. It's getting late, and Jeremy's eaten all the syrup. Thank you. It's been an honor working alongside you.",Extra,5,21,25,Neutral
Extra,Thanks.,Jeremy Jamm,5,21,1,Neutral
Jeremy Jamm,"Whoa, whoa, whoa. Hold up. Snow cones are half the fun.",Leslie Knope,5,21,11,Positive
Leslie Knope,"Yeah, Julie, could you stay, please?",Extra,5,21,6,Positive
Extra,I have calculus homework.,Leslie Knope,5,21,4,Neutral
Leslie Knope,"I Oh, well, math is worthless in real life. I mean, there's an app for calculating tips. That's all you need. Math is very important, especially for young women. Stay in school.",Ron Swanson,5,21,32,Neutral
Ron Swanson,"I've made my point. Leslie has made hers. Which way are you voting, Councilman?",Jeremy Jamm,5,21,14,Positive
Jeremy Jamm,"Uh, well, I'm kind of still on the fence about this budget thing, but I do love watching you guys squabble over me. You sure make a guy feel like a real lady.",Leslie Knope,5,21,33,Negative
Leslie Knope,Weird.,Jeremy Jamm,5,21,1,Neutral
Jeremy Jamm,"All right, how about this? You two play each other. Nine holes. Winner gets my vote.",Leslie Knope,5,21,16,Neutral
Leslie Knope,I'm game. Ron?,Ron Swanson,5,21,3,Neutral
Ron Swanson,An athletic competition where both parties are competing their hardest is certainly more honorable than whatever this charade is.,Chris Traeger,5,21,19,Positive
Chris Traeger,Sudden death playoff on the very course that hangs in the balance. I could literally faint if I didn't have impeccable blood pressure.,Andy Dwyer,5,21,23,Positive
Andy Dwyer,"Oh, hey, everybody. My name is Andy Dwyer. You probably know me as the artist formerly known as the lead singer of Mouse Rat. Well, after tonight, you'll only know me as the former artist formerly known as the lead singer of Mouse Rat. I'm retiring from music. This is my swan song. Once I was a golden swan swan of a man now that swan's name was Andy and he started a rock and roll band he made incredible nachos that everybody claimed they loved and then the band mates dicked him over with a massive rock and roll shove this is my swan song watch me fly",Ann Perkins,5,21,109,Neutral
Ann Perkins,Tom.,Tom Haverford,5,21,1,Neutral
Tom Haverford,What happened to you?,Ann Perkins,5,21,4,Neutral
Ann Perkins,MonaLisa happened to me. She covered me in glitter and Anna Nicole body spray. Why do they still even make that?,Tom Haverford,5,21,21,Positive
Tom Haverford,They don't she's had the same bottle for years. She just mixes in water and baby oil.,Ann Perkins,5,21,17,Neutral
Ann Perkins,"Now it's your turn to help me, okay? You need to break things off with me and MonaLisa.",Tom Haverford,5,21,18,Negative
Tom Haverford,"Uh, Ann, this might be a battle you need to fight yourself. I try not to get involved in other people's personal relationships. Aah! Don't hurt me.",Ann Perkins,5,21,27,Negative
Ann Perkins,Get me out of this friendship!,Andy Dwyer,5,21,6,Neutral
Andy Dwyer,I'm gonna find a place where I can be the beautiful duckling I always was inside whoa whoa whoa,Ron Swanson,5,21,19,Neutral
Ron Swanson,Why is there a gorilla guarding this gingerbread house?,Leslie Knope,5,21,9,Neutral
Leslie Knope,"Because minigolf is awesome. It's cute, and it's fun, and it needs to be saved.",Jeremy Jamm,5,21,15,Negative
Jeremy Jamm,Less talk. More competing for my vote. Wow.,Chris Traeger,5,21,8,Neutral
Chris Traeger,"This is it. Ron leads by one. If he hits the ball into the dragon's mouth, he gets Jamm's vote.",Leslie Knope,5,21,20,Neutral
Leslie Knope,"Uh, bean sprouts. Tofu. Ralph Nader. Ayn Rand is a terrible writer. Don't mess up, don't mess up, don't mess up. Damn it!",Chris Traeger,5,21,23,Negative
Chris Traeger,"Hole in one! Excellent win, Ron. Even better loss, Leslie. Ultimately, we learn the most about ourselves through the losses.",Jeremy Jamm,5,21,20,Negative
Jeremy Jamm,"Swanson, I hate you. Nothing will change that. But I respect the hell out of your short game. You got my vote, hombre.",Extra,5,21,23,Neutral
Extra,"Hey, you got a hole in one on 18, so I'm supposed to give you this.",Leslie Knope,5,21,16,Positive
Leslie Knope,"No, he gets the dragon too?",Ron Swanson,5,21,6,Neutral
Ron Swanson,A fine trophy. I think I'll keep it in the office.,Leslie Knope,5,21,11,Neutral
Leslie Knope,"No, you won't. Here, kid, want this, huh?",Extra,5,21,8,Neutral
Extra,Yeah.,Leslie Knope,5,21,1,Neutral
Leslie Knope,Take it and run. Run!,Ann Perkins,5,21,5,Neutral
Ann Perkins,"Tom, she's coming! Tom!",Tom Haverford,5,21,4,Positive
Tom Haverford,"Okay, desperation time. Follow my lead.",Ann Perkins,5,21,6,Neutral
Ann Perkins,What lead? What do you mean? What are you oh.,Mona-Lisa Saperstein,5,21,10,Neutral
Mona-Lisa Saperstein,"What the mothereffing, cing essing, effing king eff is going on right now?",Tom Haverford,5,21,13,Negative
Tom Haverford,"Sorry, MonaLisa. We can't keep our hands off each other.",Ann Perkins,5,21,10,Neutral
Ann Perkins,That is accurate.,Mona-Lisa Saperstein,5,21,3,Neutral
Mona-Lisa Saperstein,"Oh, it's all finally very clear. All the times that you were like, ""Oh, no, Tom's no good for you."" And all the times you tried to break it off with me I finally get it.",Ann Perkins,5,21,36,Neutral
Ann Perkins,Mmhmm.,Mona-Lisa Saperstein,5,21,1,Neutral
Mona-Lisa Saperstein,You guys want a threesome.,Ann Perkins,5,21,5,Neutral
Ann Perkins,What? No. We do not wanna have a threesome with you.,Tom Haverford,5,21,11,Positive
Tom Haverford,"Well, let's not rush to judgment. I mean, I say we hear her out.",Ann Perkins,5,21,14,Negative
Ann Perkins,"Gross. Tom, good luck. You still owe me a blanket.",Mona-Lisa Saperstein,5,21,10,Neutral
Mona-Lisa Saperstein,"She's got a screw loose, am I right?",Tom Haverford,5,21,8,Positive
Tom Haverford,"Actually she's not the one in my life I would call crazy. Look, I still don't think we should date.",Mona-Lisa Saperstein,5,21,20,Neutral
Mona-Lisa Saperstein,"Oh, me neither. I've been single for an hour now, and it's the tits! I'd still like to hook up though. Yo, do you wanna have a threesome with us?",Extra,5,21,30,Negative
Extra,"Yeah, okay.",Mona-Lisa Saperstein,5,21,2,Neutral
Mona-Lisa Saperstein,Cool.,Extra,5,21,1,Neutral
Extra,Sweet.,Mona-Lisa Saperstein,5,21,1,Neutral
Mona-Lisa Saperstein,All right.,Extra,5,21,2,Neutral
Extra,All right.,Mona-Lisa Saperstein,5,21,2,Neutral
Mona-Lisa Saperstein,"Yo, what up? My name is MonaLisa.",Andy Dwyer,5,21,7,Neutral
Andy Dwyer,"Well, hello, fellow employees. Coworkers, I bid you adieu.",Donna Meagle,5,21,9,Positive
Donna Meagle,"Whoa, fancy Andy.",Andy Dwyer,5,21,3,Neutral
Andy Dwyer,"Oh, me? No. This is just how I dress now. Funny goofball music Andy is gone. You're left with the professional remains. I'm an adult now. I'm gonna focus on business, which is good. Give me more time to play video games.",April Ludgate,5,21,42,Negative
April Ludgate,"Babe, you love that band that I also love so much. They're important to you. Come on, call Burly and ask him to let you back in.",Andy Dwyer,5,21,27,Negative
Andy Dwyer,"Why, so they can steal my swan song? Ha, joke's on them. I forgot it. No, business is my life now.",April Ludgate,5,21,21,Positive
April Ludgate,"Okay, what's in there? I don't know. Iit's locked.",Ben Wyatt,5,21,9,Neutral
Ben Wyatt,"Yeah, that's my briefcase.",Andy Dwyer,5,21,4,Neutral
Andy Dwyer,Is it?,Ron Swanson,5,21,2,Neutral
Ron Swanson,Good gravy.,Leslie Knope,5,21,2,Neutral
Leslie Knope,"Oh, hello, Ron. I believe you know this gorilla. It used to bring joy to hundreds of Pawnee families, but then you got rid of its habitat, so it died. Your office shall serve as its monkey tomb.",Ron Swanson,5,21,38,Neutral
Ron Swanson,How much did you pay for this?,Leslie Knope,5,21,7,Neutral
Leslie Knope,Irrelevant. I would pay any amount of money to properly shame you.,Ron Swanson,5,21,12,Neutral
Ron Swanson,"Leslie, you should know by now that I live my life according to a certain set of principles, and I do not deviate from them.",Leslie Knope,5,21,25,Negative
Leslie Knope,"Right, I mean, God forbid you're flexible in any way. You should just stick to your stupid, rigid, antigovernment principles. But you know what? Those principles stink. They're not the right principles.",Ron Swanson,5,21,32,Negative
Ron Swanson,"You may think so. I do not. Thank you for my new silver-backed friend. I like him very much. I will call him ""9,000 dollars of taxpayer money the gorilla.""",Leslie Knope,5,21,30,Negative
Leslie Knope,That is a terrible-- his name is Mr. Fuzzyface!,Ann Perkins,5,21,9,Neutral
Ann Perkins,Hey. How did your wild dirtbag fantasy night work out?,Tom Haverford,5,21,10,Neutral
Tom Haverford,"Well, Mona-Lisa and the random girl she grabbed after you left got into a fistfight in the parking lot. Eventually, Mona-Lisa threw a cinderblock through the girl's windshield. She dives in, steals her purse, doesn't go for the money, steals all her birth control pills, and says, ""Bitch, you're gonna get pregnant."" She then pretends those are ecstasy and sells it to a bunch of college kids that are drinking Goldschlager at a gas station.",Ann Perkins,5,21,75,Positive
Ann Perkins,You have to break up with her.,Tom Haverford,5,21,7,Neutral
Tom Haverford,I tried. Again. It did not go well.,Ann Perkins,5,21,8,Neutral
Ann Perkins,Did she assault you?,Tom Haverford,5,21,4,Neutral
Tom Haverford,"No, this was a sexual injury.",Ann Perkins,5,21,6,Neutral
Ann Perkins,"Okay, gross.",Tom Haverford,5,21,2,Neutral
Tom Haverford,"Anyway, here's your chenille blanket. You earned it. Thanks for your help.",Ann Perkins,5,21,12,Neutral
Ann Perkins,"Tom, thank you.",Tom Haverford,5,21,3,Neutral
Tom Haverford,"Eh, be nice to Chenille O'Neal.",Ann Perkins,5,21,6,Neutral
Ann Perkins,I will.,Tom Haverford,5,21,2,Neutral
Tom Haverford,It needs to be brushed regularly. Never use a lint roller. I'm dead serious.,Ann Perkins,5,21,14,Neutral
Ann Perkins,Okay.,Tom Haverford,5,21,1,Neutral
Tom Haverford,"And keep it out of direct sunlight. If I see this at one picnic, I swear--",Ann Perkins,5,21,16,Positive
Ann Perkins,"Okay, you know what, I don't even want it anymore.",Tom Haverford,5,21,10,Positive
Tom Haverford,Yes! Thank you!,Jeremy Jamm,5,21,3,Negative
Jeremy Jamm,"What's up, yellow head?",Leslie Knope,5,21,4,Neutral
Leslie Knope,"Jamm, are you here to rub it in my face that I lost your vote last night?",Jeremy Jamm,5,21,17,Neutral
Jeremy Jamm,"Well, I was, but it doesn't have to go down that way.",Leslie Knope,5,21,12,Positive
Leslie Knope,You shook Ron's hand and told him that you were gonna vote to close the putt-putt.,Jeremy Jamm,5,21,16,Neutral
Jeremy Jamm,My word is garbage. Everyone knows that. Let's talk deal. What can you offer me to change my mind?,Leslie Knope,5,21,19,Positive
Leslie Knope,"Wow, Jamm, even for you, this is pretty sleazy.",Jeremy Jamm,5,21,9,Negative
Jeremy Jamm,"Hey, don't act so shocked. A few months ago, you traded me your office for that stupid swimming pool bill. Last night you bring in a teenage girl to pump me full of snow cones. This is simply how people like us operate.",Leslie Knope,5,21,43,Positive
Leslie Knope,"I have six things to say to you. One: You drive me nuts with your rigid code of honor. Two: Congratulations, putt-putt has been defunded. And only because Jamm was going to double-cross you, and I made him stick to his word. Three: I am furious that putt-putt has been defunded. Four: I am sorry that I said the gorilla's blood was on your hands. 'Twas Leslie killed the beast. Five: Putt-putt is for children, and they are the future, and I have already written a ballot measure that will save it, and it will pass. And six: Your rigid code of honor, which drives me nuts, makes you a wonderful human being, and I am proud to call you my friend, and don't ever change.",Ron Swanson,5,21,126,Negative
Ron Swanson,You want a drink?,Leslie Knope,5,21,4,Neutral
Leslie Knope,Very much.,Andy Dwyer,5,21,2,Neutral
Andy Dwyer,"Burly, I just want to say I'm sorry that I haven't been to rehearsal and that I won't let you sing or write songs or walk out onstage in front of me. Man, I love playing with you guys. And I want back in if you'll let me.",Burly,5,21,48,Positive
Burly,"Well, we never wanted to kick you out. It's just, you didn't show up for practice, and we like to play.",Andy Dwyer,5,21,21,Neutral
Andy Dwyer,Right.,Burly,5,21,1,Neutral
Burly,"If you wanna come back in, you can. I'm more of a backup singer anyways.",April Ludgate,5,21,15,Neutral
April Ludgate,You can say that again.,Andy Dwyer,5,21,5,Neutral
Andy Dwyer,"No, no, no. Hey, you got a great voice.",April Ludgate,5,21,9,Neutral
April Ludgate,"Yeah, Ben! God, don't say that.",Burly,5,21,6,Neutral
Burly,"Welcome back, buddy.",Andy Dwyer,5,21,3,Neutral
Andy Dwyer,"#NAME? All right! Hey, I'll even try melting the cheese on the nachos.",Burly,5,21,13,Neutral
Burly,All right.,Andy Dwyer,5,21,2,Neutral
Andy Dwyer,It won't work. You're gonna look like such an idiot.,Leslie Knope,5,21,10,Positive
Leslie Knope,"I have been in the city council for almost a year, and I'm proud of what I've done. But every once in a while, I end up in a situation that makes my stomach queasy.",Ron Swanson,5,21,35,Neutral
Ron Swanson,You're in politics. What did you expect?,Leslie Knope,5,21,7,Neutral
Leslie Knope,"Frankly, I hoped it would be like dealing with you. People with strong opinions hashing it out respectfully. And then you either realize that I'm right or you get hungry and go home and I win.",Ron Swanson,5,21,36,Negative
Ron Swanson,There are a lot of Jeremy Jamms along the path you're walking. I suppose you just need to figure out whether it's a path you truly wanna walk.,Leslie Knope,5,21,28,Negative
Leslie Knope,Yeah. I'm taking that gorilla with me and putting it back in the putt-putt - when it reopens.,Ron Swanson,5,21,18,Neutral
Ron Swanson,"Sorry, no. That gorilla was a gift from a very determined co-worker whom I respect. And there's a certain code of honor that accompanies gift-giving.",Leslie Knope,5,21,25,Neutral
Leslie Knope,"God, you're the worst.",Andy Dwyer,5,21,4,Neutral
Andy Dwyer,"Ladies and gentlemen, welcome to Mouse Rat's Reunion Show, featuring me, Andy Dwyer, and for the first time, Andrew ""Burly"" Burlinson on lead vocals. That's right, two lead vocalists. Name one other band that's done that.",Ben Wyatt,5,21,36,Negative
Ben Wyatt,The Beatles.,Andy Dwyer,5,21,2,Positive
Andy Dwyer,"Three, four! Oh I know we had bad times but we had good times too",None,5,21,15,Neutral
Leslie Knope,Merry CongratuChristmas!,Ron Swanson,5,9,2,Neutral
Ron Swanson,What?,Leslie Knope,5,9,1,Neutral
Leslie Knope,"Half ""Merry Christmas,"" half ""Congratulations,"" because I just received some news. You, Ron Swanson, have been nominated for an award from the Indiana Fine Woodworking Association.",Ron Swanson,5,9,26,Positive
Ron Swanson,How did you hear about that?,Leslie Knope,5,9,6,Neutral
Leslie Knope,"I've had a ""Ron Swanson"" Google alert for seven years and it finally paid off.",Ron Swanson,5,9,15,Negative
Ron Swanson,"Recently, I made a chair. When I was finished, I thought it was a good chair. I submitted it to the Indiana Fine Woodworking Association, who felt it merited consideration for an award. It's been a real whirlwind. I have to confess, I'm very honored by this nomination.",Leslie Knope,5,9,48,Negative
Leslie Knope,Right?,Ron Swanson,5,9,1,Neutral
Ron Swanson,This might be the first time I've ever wanted to attend an event.,Leslie Knope,5,9,13,Positive
Leslie Knope,"Oh, my God, I love events! I can't wait to go tonight.",Ron Swanson,5,9,12,Neutral
Ron Swanson,Why are you going?,Leslie Knope,5,9,4,Neutral
Leslie Knope,"As your selfappointed emotional guardian, it is my duty to love and support you. Plus, you know, this is a big deal. You shouldn't be there alone.",Ron Swanson,5,9,27,Negative
Ron Swanson,That's correct. I'm bringing Diane. Things are going very well with us.,Leslie Knope,5,9,12,Neutral
Leslie Knope,Even better. I am very excited to meet Diane.,Ron Swanson,5,9,9,Neutral
Ron Swanson,"You're not taking ""no"" for an answer, are you?",Leslie Knope,5,9,9,Positive
Leslie Knope,"Oh, I forgot to sing you my merry CongratuChristmas carol. Jingle bells, jingle yay, jingle good for you",Ron Swanson,5,9,18,Neutral
Ron Swanson,Get out.,Leslie Knope,5,9,2,Neutral
Leslie Knope,Yup.,Donna Meagle,5,9,1,Neutral
Donna Meagle,How about the new sushi place in Eagleton?,Andy Dwyer,5,9,8,Negative
Andy Dwyer,"I'm allergic to sushi. Every time I eat more than 80 sushis, I barf.",Tom Haverford,5,9,14,Negative
Tom Haverford,"Hey, Ann, you been to any swanky restaurants lately?",Ann Perkins,5,9,9,Positive
Ann Perkins,What's the occasion?,Tom Haverford,5,9,3,Neutral
